x,y,ux,uy
0,20,0.018781072,0.001581894
0,18.75,0.020144728,-0.000512543
0,17.5,0.016176102,-0.009283072
1.09375,20,0.016841318,0.000840982
0,16.25,0.027391438,-0.000295851
0,15,0.028636606,-0.001715643
1.09375,17.5,0.019345316,0.000652004
2.1875,20,0.019138645,0.000701758
0,13.75,0.027748765,-0.002333803
2.1875,18.75,0.019991856,0.000393165
1.09375,15,0.018952734,0.001530205
2.1875,17.5,0.020152205,0.00071947
0,12.5,0.017310548,-0.000112566
3.28125,20,0.020354604,0.000201206
2.1875,16.25,0.019781932,0.000774429
0,11.25,0.034796573,-0.019107962
2.1875,15,0.019701178,0.00151774
3.28125,17.5,0.020189225,0.000527475
1.09375,12.5,0.01902069,0.00066463
2.1875,13.75,0.019560922,0.001320994
4.375,20,0.021986042,0.001201758
0,10,0.020616598,-0.005853805
4.375,18.75,0.021025767,0.000170033
3.28125,15,0.019798603,0.001224404
2.1875,12.5,0.019754522,0.001171034
4.375,17.5,0.020937162,8.88877E-05
0,8.75,0.008441871,0.006268922
1.09375,10,0.018702306,0.001533511
4.375,16.25,0.020986438,0.000390491
5.46875,20,0.021421328,-2.8621E-05
2.1875,11.25,0.01960719,0.001073853
4.375,15,0.020384199,0.000986007
3.28125,12.5,0.020039126,0.001667442
5.46875,17.5,0.021311994,0.000351372
0,7.5,0.0016681,0.015344246
2.1875,10,0.019793272,0.001688701
4.375,13.75,0.020377337,0.000806041
6.5625,20,0.021413591,0.000782659
6.5625,18.75,0.022085901,-5.23112E-05
5.46875,15,0.021267079,0.000537817
4.375,12.5,0.020553566,0.00114536
1.09375,7.5,0.018471753,0.001776814
0,6.25,-0.009979943,0.021056392
2.1875,8.75,0.01928754,0.001674486
6.5625,17.5,0.022079171,0.00029971
3.28125,10,0.020091081,0.001443206
6.5625,16.25,0.021975999,0.000411131
4.375,11.25,0.020584686,0.001734369
7.65625,20,0.022703445,-0.000469556
2.1875,7.5,0.019323772,0.001859168
0,5,0.00569564,0.012305406
5.46875,12.5,0.021077365,0.001386351
6.5625,15,0.021760527,0.000683439
4.375,10,0.02031879,0.001376122
7.65625,17.5,0.022292628,0.000343671
6.5625,13.75,0.021778923,0.001031662
2.1875,6.25,0.019160298,0.002054455
1.09375,5,0.018935194,0.002406574
3.28125,7.5,0.019547802,0.001821447
0,3.75,0.014612626,0.002782683
8.75,20,0.024116305,-0.000539246
4.375,8.75,0.020694916,0.0017457
6.5625,12.5,0.022123831,0.00119612
7.65625,15,0.022480207,0.000601773
8.75,18.75,0.023066374,2.11159E-05
5.46875,10,0.021063332,0.001406416
8.75,17.5,0.023170744,-0.000163235
2.1875,5,0.019104618,0.002250471
6.5625,11.25,0.021841711,0.001151738
4.375,7.5,0.020818004,0.001935995
8.75,16.25,0.023109688,0.000263935
0,2.5,0.006370395,0.014229132
9.84375,20,0.022728708,-2.83209E-05
7.65625,12.5,0.022579469,0.001010386
8.75,15,0.022932299,0.000898111
6.5625,10,0.02141762,0.001351952
3.28125,5,0.019757217,0.00228977
2.1875,3.75,0.019248838,0.002884304
4.375,6.25,0.020262565,0.001857538
9.84375,17.5,0.023631485,0.000423767
1.09375,2.5,0.01842849,0.002465994
8.75,13.75,0.02307422,0.000660016
5.46875,7.5,0.021004297,0.001777408
0,1.25,0.013172928,0.004515566
6.5625,8.75,0.021502075,0.001353838
10.9375,20,0.024618399,-0.000302742
8.75,12.5,0.023219669,0.000933327
7.65625,10,0.022450632,0.001470407
9.84375,15,0.023569476,0.000749336
4.375,5,0.020120719,0.001976159
10.9375,18.75,0.024113437,0.000210268
2.1875,2.5,0.019066462,0.002242144
6.5625,7.5,0.021614491,0.002110199
10.9375,17.5,0.024175762,-7.11618E-05
8.75,11.25,0.022528903,0.00115719
0,0,0.01233782,0.006995577
10.9375,16.25,0.024231019,1.40256E-06
4.375,3.75,0.020743414,0.00211484
9.84375,12.5,0.023451485,0.00088239
3.28125,2.5,0.019522468,0.00288577
5.46875,5,0.020722882,0.002284471
12.03125,20,0.026220795,-0.000745352
8.75,10,0.022929825,0.001579147
2.1875,1.25,0.018982232,0.002764061
6.5625,6.25,0.021792962,0.001983243
10.9375,15,0.024626543,0.00040266
1.09375,0,0.012548577,0.003809255
7.65625,7.5,0.022303525,0.001861582
12.03125,17.5,0.025059822,8.57656E-05
10.9375,13.75,0.024313351,0.00050254
8.75,8.75,0.022532176,0.001285494
4.375,2.5,0.020505385,0.002864951
6.5625,5,0.021499516,0.001696416
10.9375,12.5,0.024161695,0.000809626
9.84375,10,0.023171044,0.001202217
2.1875,0,0.020114807,0.003173413
13.125,20,0.026880652,0.000132555
12.03125,15,0.024800503,0.000425659
8.75,7.5,0.022619349,0.001682099
13.125,18.75,0.025509038,-9.36091E-05
10.9375,11.25,0.024287929,0.000863724
13.125,17.5,0.025177032,-0.000217012
5.46875,2.5,0.02063969,0.002621865
6.5625,3.75,0.021063253,0.002292371
4.375,1.25,0.019948557,0.002838688
7.65625,5,0.022017533,0.001761493
3.28125,0,0.024773242,0.004243441
13.125,16.25,0.025292954,0.000215421
8.75,6.25,0.022730413,0.001805712
10.9375,10,0.023990766,0.00107971
12.03125,12.5,0.02487725,0.000770183
14.21875,20,0.026441981,-0.000508009
9.84375,7.5,0.023535319,0.001708218
13.125,15,0.025471516,0.000340277
6.5625,2.5,0.021126436,0.002531019
4.375,0,0.019919401,0.003127582
10.9375,8.75,0.02395595,0.001236845
13.125,13.75,0.025387671,0.000582224
8.75,5,0.022888663,0.001502585
14.21875,17.5,0.026077919,-0.00051903
12.03125,10,0.024364459,0.001230771
13.125,12.5,0.025073973,0.000794342
10.9375,7.5,0.023885158,0.0014564
6.5625,1.25,0.021376038,0.002913846
14.21875,15,0.025627028,0.000575116
7.65625,2.5,0.021989735,0.002105493
15.3125,20,0.026313433,0.000318033
5.46875,0,0.021965968,0.00331574
8.75,3.75,0.022235159,0.002612865
15.3125,18.75,0.026926715,-0.000490706
13.125,11.25,0.025171648,0.000985475
9.84375,5,0.022917408,0.001766076
15.3125,17.5,0.026401399,-0.000200024
10.9375,6.25,0.023463215,0.001575804
13.125,10,0.024916414,0.000979687
15.3125,16.25,0.026408401,0.000332973
14.21875,12.5,0.025793654,0.000623725
6.5625,0,0.01675094,0.003478687
12.03125,7.5,0.024389449,0.00163275
8.75,2.5,0.02274959,0.002290665
15.3125,15,0.026355049,0.000296824
16.40625,20,0.027919996,-0.000754295
10.9375,5,0.023944248,0.001464241
